Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Actual_Number_of_Reports,Predicted_Number_of_Reports
2126.5,0.09960920152766675,2.0,0,0.33195665689670484,0.09761080024868994,217.0,0,0,0,0,0,0,0,1,1.85
1901.0,0.20330402344790835,6.0,1,0.2981170619060307,0.09965361044497735,,0,0,1,0,0,0,0,78,116.09908333333334
1882.0,0.20330402344790835,2.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,1,0,12,15.950976190476192
1882.0,0.20330402344790835,3.0,0,0.2981170619060307,0.08775202060573763,758.56,0,0,0,0,0,1,0,5,4.680428571428573
1776.9,0.20330402344790835,1.0,0,0.33195665689670484,0.02375877076116884,,0,0,0,1,0,0,0,1,1.088
2094.3,0.20330402344790835,1.0,0,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,1,1,1.6862222222222227
1901.0,0.033084643396394,6.0,1,0.05671018740563105,0.024202859934274804,,0,0,1,0,0,0,0,1,1.3868571428571428
2126.5,0.20330402344790835,4.0,1,0.05671018740563105,0.024202859934274804,,0,0,0,0,0,0,0,2,1.7286666666666664
2126.5,0.19690913935518253,4.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,0,2,2.2050941835941837
2126.5,0.19690913935518253,4.0,0,0.2981170619060307,0.06510347277733369,,0,0,0,0,0,0,0,1,1.1638809523809526
2094.3,0.23430144773070433,4.0,0,0.06306066258104627,0.05733191224797939,,0,0,0,0,0,0,1,1,1.0462619047619048
2126.5,0.23430144773070433,3.0,0,0.33195665689670484,0.09761080024868994,3207.0,0,0,0,0,0,0,0,1,1.38
1935.7,0.19690913935518253,6.0,1,0.33195665689670484,0.07287503330668799,,1,0,0,0,0,0,0,4,1.585694444444444
1901.0,0.23430144773070433,6.0,1,0.2981170619060307,0.045607958077982055,,0,0,1,0,0,0,0,4,3.5765238095238088
1710.8,0.033084643396394,6.0,1,0.027267075228705924,0.027267075228705924,,0,0,0,0,1,0,0,1,1.3064999999999998
1845.8,0.23430144773070433,6.0,1,0.33195665689670484,0.09272581934452438,,0,1,0,0,0,0,0,8,1.8746428571428573
1882.0,0.20330402344790835,1.0,1,0.33195665689670484,0.07287503330668799,36.0,0,0,0,0,0,1,0,1,1.8016666666666667
2126.5,0.19690913935518253,4.0,0,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,0,3,3.5160873015873024
1882.0,0.23430144773070433,3.0,0,0.027267075228705924,0.027267075228705924,,0,0,0,0,0,1,0,1,1.2865
1882.0,0.20330402344790835,5.0,1,0.2981170619060307,0.09965361044497735,11600.0,0,0,0,0,0,1,0,123,75.3392380952381
1935.7,0.19690913935518253,5.0,1,0.09849897859490185,0.09849897859490185,,1,0,0,0,0,0,0,13,14.611674603174599
1882.0,0.14175326405542232,0.0,0,0.33195665689670484,0.09761080024868994,150.0,0,0,0,0,0,1,0,1,2.03
2094.3,0.23430144773070433,5.0,0,0.33195665689670484,0.09761080024868994,,0,0,0,0,0,0,1,1,3.357666666666666
1776.9,0.20330402344790835,5.0,0,0.33195665689670484,0.0165201172395417,,0,0,0,1,0,0,0,1,1.0525
1776.9,0.14175326405542232,3.0,0,0.33195665689670484,0.09761080024868994,50.0,0,0,0,1,0,0,0,1,2.05
1901.0,0.23430144773070433,4.0,0,0.2981170619060307,0.08775202060573763,,0,0,1,0,0,0,0,1,3.156249389499389
2094.3,0.14175326405542232,4.0,0,0.33195665689670484,0.09761080024868994,350.07,0,0,0,0,0,0,1,4,1.68
1901.0,0.23430144773070433,5.0,0,0.06306066258104627,0.05733191224797939,0.0,0,0,1,0,0,0,0,2,1.7724404761904762
1882.0,0.19690913935518253,4.0,0,0.33195665689670484,0.07287503330668799,3500.0,0,0,0,0,0,1,0,1,2.87
1935.7,0.09960920152766675,3.0,1,0.2981170619060307,0.09965361044497735,,1,0,0,0,0,0,0,1,1.3924999999999996
1776.9,0.20330402344790835,5.0,1,0.33195665689670484,0.09761080024868994,,0,0,0,1,0,0,0,2,1.2521119436119443
2126.5,0.19690913935518253,6.0,0,0.2981170619060307,0.08775202060573763,0.0,0,0,0,0,0,0,0,2,2.3349404761904764
1935.7,0.033084643396394,6.0,0,0.33195665689670484,0.09272581934452438,,1,0,0,0,0,0,0,1,1.4705
1882.0,0.20330402344790835,5.0,1,0.33195665689670484,0.02655653255173639,,0,0,0,0,0,1,0,2,1.3074502164502164
2094.3,0.14175326405542232,4.0,1,0.33195665689670484,0.07287503330668799,3140.0,0,0,0,0,0,0,1,3,4.67
1935.7,0.23430144773070433,2.0,1,0.33195665689670484,0.09272581934452438,2260.06,1,0,0,0,0,0,0,7,5.7958333333333325
1845.8,0.20330402344790835,3.0,0,0.2981170619060307,0.09965361044497735,,0,1,0,0,0,0,0,1,1.8010786435786437
1901.0,0.23430144773070433,2.0,0,0.33195665689670484,0.09761080024868994,0.0,0,0,1,0,0,0,0,1,1.743166666666667
2094.3,0.19690913935518253,6.0,0,0.2981170619060307,0.09965361044497735,6600.0,0,0,0,0,0,0,1,14,13.19116666666667
1776.9,0.09960920152766675,4.0,0,0.33195665689670484,0.09761080024868994,87.0,0,0,0,1,0,0,0,1,1.8450000000000002
1845.8,0.23430144773070433,4.0,1,0.2981170619060307,0.06510347277733369,,0,1,0,0,0,0,0,1,1.1993333333333334
1901.0,0.20330402344790835,1.0,1,0.2981170619060307,0.08775202060573763,,0,0,1,0,0,0,0,2,2.8484480519480524
1776.9,0.19690913935518253,4.0,0,0.2981170619060307,0.045607958077982055,0.0,0,0,0,1,0,0,0,2,1.4624920634920633
1935.7,0.06297184474642509,6.0,0,0.09849897859490185,0.09849897859490185,,1,0,0,0,0,0,0,3,1.138222222222222
1776.9,0.19690913935518253,2.0,1,0.33195665689670484,0.09761080024868994,,0,0,0,1,0,0,0,1,1.0313333333333334
2094.3,0.06297184474642509,1.0,1,0.33195665689670484,0.07287503330668799,,0,0,0,0,0,0,1,1,1.0
1710.8,0.23430144773070433,4.0,1,0.2981170619060307,0.045607958077982055,13000.0,0,0,0,0,1,0,0,2,2.53
1882.0,0.19690913935518253,5.0,0,0.2981170619060307,0.045607958077982055,0.0,0,0,0,0,0,1,0,4,2.6415555555555557
1901.0,0.06297184474642509,6.0,1,0.03543831601385558,0.03543831601385558,,0,0,1,0,0,0,0,1,1.055
1901.0,0.19690913935518253,5.0,1,0.2981170619060307,0.09965361044497735,539.0,0,0,1,0,0,0,0,9,12.701166666666671
1882.0,0.09960920152766675,5.0,1,0.33195665689670484,0.07287503330668799,22.5,0,0,0,0,0,1,0,1,1.2613333333333334
1882.0,0.20330402344790835,3.0,0,0.09849897859490185,0.09849897859490185,,0,0,0,0,0,1,0,8,6.584822150072149
1776.9,0.19690913935518253,3.0,0,0.2981170619060307,0.09965361044497735,,0,0,0,1,0,0,0,1,2.814757936507937
1901.0,0.20330402344790835,1.0,1,0.05671018740563105,0.03250732747135625,,0,0,1,0,0,0,0,1,1.8617698412698411
2094.3,0.19690913935518253,1.0,1,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,0,1,1,1.0758333333333332
1882.0,0.02602362554400924,6.0,0,0.09849897859490185,0.09849897859490185,,0,0,0,0,0,1,0,1,1.5599047619047621
2126.5,0.19690913935518253,6.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,0,4,3.031166666666666
1901.0,0.23430144773070433,6.0,0,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,6,15.150876984126988
1935.7,0.20330402344790835,6.0,1,0.33195665689670484,0.02375877076116884,,1,0,0,0,0,0,0,2,4.848690476190477
1882.0,0.20330402344790835,0.0,1,0.33195665689670484,0.09761080024868994,,0,0,0,0,0,1,0,1,1.09
1935.7,0.14175326405542232,3.0,1,0.06306066258104627,0.05733191224797939,42850.0,1,0,0,0,0,0,0,4,4.0625
1776.9,0.19690913935518253,1.0,1,0.049737987387867486,0.033084643396394,,0,0,0,1,0,0,0,1,1.0270238095238096
2094.3,0.23430144773070433,3.0,0,0.2981170619060307,0.06510347277733369,,0,0,0,0,0,0,1,2,1.12
1935.7,0.19690913935518253,3.0,0,0.33195665689670484,0.09272581934452438,10000.0,1,0,0,0,0,0,0,6,6.21
1710.8,0.23430144773070433,6.0,1,0.2981170619060307,0.06510347277733369,,0,0,0,0,1,0,0,2,1.8540836940836942
1901.0,0.02602362554400924,5.0,1,0.06306066258104627,0.05733191224797939,12500.0,0,0,1,0,0,0,0,1,1.84
