Average State Income,Contact Method,Age Group,Scam Type,Amount_lost,Number_of_reports,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Predicted_Number_of_Reports,Actual_Number_of_Reports
1935.7,0.06297184474642509,5.0,0.09849897859490185,0.0,3,1,0,0,0,0,0,0,4.114927116034742,3
1776.9,0.19690913935518253,1.0,0.09761080024868994,0.0,1,0,0,0,1,0,0,0,1.6455936367610375,1
2094.3,0.06297184474642509,0.0,0.07287503330668799,0.0,1,0,0,0,0,0,0,1,0.18603789175492416,1
1710.8,0.23430144773070433,3.0,0.045607958077982055,13000.0,2,0,0,0,0,1,0,0,0.03214722928932513,2
1882.0,0.19690913935518253,4.0,0.045607958077982055,0.0,4,0,0,0,0,0,1,0,2.6354652684104525,4
1901.0,0.06297184474642509,5.0,0.03543831601385558,0.0,1,0,0,1,0,0,0,0,1.283752366050151,1
1901.0,0.19690913935518253,4.0,0.09965361044497735,539.0,9,0,0,1,0,0,0,0,16.3771328660894,9
1882.0,0.09960920152766675,4.0,0.07287503330668799,22.5,1,0,0,0,0,0,1,0,1.7738520611221704,1
1882.0,0.20330402344790835,2.0,0.09849897859490185,0.0,8,0,0,0,0,0,1,0,6.464056523095315,8
1776.9,0.19690913935518253,2.0,0.09965361044497735,0.0,1,0,0,0,1,0,0,0,0.9992754840061424,1
1901.0,0.20330402344790835,0.0,0.03250732747135625,0.0,1,0,0,1,0,0,0,0,1.143058652579674,1
2094.3,0.19690913935518253,0.0,0.045607958077982055,0.0,1,0,0,0,0,0,0,1,0.4799866293262922,1
1882.0,0.02602362554400924,5.0,0.09849897859490185,0.0,1,0,0,0,0,0,1,0,3.777530391020421,1
2126.5,0.19690913935518253,5.0,0.09965361044497735,0.0,4,0,0,0,0,0,0,0,4.730443789099968,4
1901.0,0.23430144773070433,5.0,0.027267075228705924,0.0,6,0,0,1,0,0,0,0,6.094901149900742,6
1935.7,0.20330402344790835,5.0,0.02375877076116884,0.0,2,1,0,0,0,0,0,0,5.138673225742752,2
1882.0,0.20330402344790835,6.0,0.09761080024868994,0.0,1,0,0,0,0,0,1,0,4.676377335835993,1
1935.7,0.14175326405542232,2.0,0.05733191224797939,42850.0,4,1,0,0,0,0,0,0,2.468822234667503,4
1776.9,0.19690913935518253,0.0,0.033084643396394,0.0,1,0,0,0,1,0,0,0,0.0158543122182424,1
2094.3,0.23430144773070433,2.0,0.06510347277733369,0.0,2,0,0,0,0,0,0,1,1.4038913153800623,2
1935.7,0.19690913935518253,2.0,0.09272581934452438,10000.0,6,1,0,0,0,0,0,0,5.631291344687156,6
1710.8,0.23430144773070433,5.0,0.06510347277733369,0.0,2,0,0,0,0,1,0,0,3.392476653313621,2
1901.0,0.02602362554400924,4.0,0.05733191224797939,12500.0,1,0,0,1,0,0,0,0,2.0217284509114695,1
1776.9,0.19690913935518253,2.0,0.09965361044497735,186000.0,2,0,0,0,1,0,0,0,3.961113321964311,2
1776.9,0.23430144773070433,5.0,0.027267075228705924,0.0,1,0,0,0,1,0,0,0,3.701059921713699,1
1935.7,0.23430144773070433,4.0,0.03250732747135625,0.0,6,1,0,0,0,0,0,0,3.509206161170962,6
1882.0,0.09960920152766675,3.0,0.028244071409539037,0.0,1,0,0,0,0,0,1,0,1.1335227207082919,1
1935.7,0.23430144773070433,5.0,0.03543831601385558,0.0,1,1,0,0,0,0,0,0,6.570560479608492,1
1901.0,0.09960920152766675,4.0,0.09849897859490185,529.16,2,0,0,1,0,0,0,0,3.346905250070326,2
1776.9,0.23430144773070433,2.0,0.09761080024868994,3098.6,3,0,0,0,1,0,0,0,4.163075428208434,3
1935.7,0.14175326405542232,4.0,0.05733191224797939,2377.17,3,1,0,0,0,0,0,0,2.856349896514406,3
2094.3,0.23430144773070433,3.0,0.02655653255173639,0.0,1,0,0,0,0,0,0,1,0.8397953098819687,1
1901.0,0.09960920152766675,5.0,0.09965361044497735,0.0,1,0,0,1,0,0,0,0,13.502898581913229,1
1901.0,0.033084643396394,1.0,0.08775202060573763,0.0,1,0,0,1,0,0,0,0,1.330944776555764,1
1901.0,0.23430144773070433,4.0,0.016653343991473488,0.0,4,0,0,1,0,0,0,0,2.8344657181775124,4
1845.8,0.23430144773070433,5.0,0.09965361044497735,0.0,8,0,1,0,0,0,0,0,26.03476672835603,8
2094.3,0.23430144773070433,5.0,0.09272581934452438,3973.75,22,0,0,0,0,0,0,1,20.000296114821868,22
1935.7,0.20330402344790835,3.0,0.09272581934452438,0.0,22,1,0,0,0,0,0,0,8.099449462694764,22
1845.8,0.23430144773070433,2.0,0.03250732747135625,0.0,1,0,1,0,0,0,0,0,-1.3556992824989458,1
1935.7,0.19690913935518253,5.0,0.05733191224797939,828209.0,5,1,0,0,0,0,0,0,4.331065423333013,5
