Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
Under 18,New South Wales,2126.5,Investment,Phone call,0.0,1,1.22
65 and over,Queensland,1901.0,False billing,Email,315.48,37,45.07
25 - 34,New South Wales,1935.7,Online shopping,Mobile apps,1230.0,2,1.76
35 - 44,South Australia,1776.9,Other,Mail,,1,1.01
45 - 54,Northern Territory,1845.8,False billing,Internet,237.98,1,1.04
25 - 34,Queensland,1901.0,Phishing,Phone call,2247.5,8,5.49
25 - 34,New South Wales,1935.7,Phishing,Text message,2502.47,16,20.5
65 and over,Queensland,1901.0,inheritance and unexpected money,Internet,1000.0,1,1.51
25 - 34,New South Wales,1935.7,Classified,Social media/Online forums,735.0,7,2.9
18 - 24,New South Wales,2126.5,Investment,Social media/Online forums,,1,1.08
25 - 34,Queensland,1901.0,Investment,Email,,1,1.2
65 and over,Western Australia,2094.3,Investment,In person,569889.3,1,1.82
35 - 44,Victoria,1882.0,Identity theft,Text message,,4,4.75
55 - 64,Queensland,1901.0,"Travel, prizes and lottery",Text message,,3,1.13
65 and over,New South Wales,2126.5,Phishing,Text message,0.0,12,36.18
65 and over,New South Wales,2126.5,Investment,Phone call,,1,1.04
25 - 34,Queensland,1901.0,Fake charity,Social media/Online forums,13560.87,2,1.61
25 - 34,New South Wales,1935.7,Identity theft,Phone call,,6,8.21
55 - 64,Victoria,1882.0,Identity theft,Text message,,15,8.98
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Text message,,1,1.18
18 - 24,New South Wales,1935.7,Other,Social media/Online forums,,3,1.08
55 - 64,Queensland,1901.0,Identity theft,Mail,60.0,1,1.13
25 - 34,Victoria,1882.0,False billing,Email,86218.47,7,11.91
45 - 54,Western Australia,2094.3,Other,Text message,,2,4.16
45 - 54,Victoria,1882.0,Remote access,Internet,0.0,2,1.07
65 and over,South Australia,1776.9,Remote access,Phone call,,7,2.1
35 - 44,New South Wales,1935.7,Overpayment,Phone call,1800.0,1,2.46
45 - 54,Queensland,1901.0,Phishing,Internet,,1,1.03
35 - 44,South Australia,1776.9,Hacking,Social media/Online forums,,1,1.41
25 - 34,Queensland,1901.0,Rebate,Text message,,1,2.54
65 and over,New South Wales,2126.5,Health and medical products,Text message,,2,1.66
45 - 54,South Australia,1776.9,Health and medical products,Social media/Online forums,3300.0,1,1.52
25 - 34,Western Australia,2094.3,Remote access,Phone call,,1,1.48
65 and over,Western Australia,2094.3,Rebate,Text message,,1,1.52
65 and over,South Australia,1776.9,Remote access,Internet,,1,1.05
25 - 34,Victoria,1882.0,Investment,Phone call,0.0,2,1.39
45 - 54,South Australia,1776.9,Identity theft,Text message,,2,1.55
35 - 44,New South Wales,1935.7,Other,Internet,775.51,1,4.14
55 - 64,New South Wales,1935.7,Betting and sports investment,Social media/Online forums,0.0,1,1.06
18 - 24,Western Australia,2094.3,Other,Phone call,,1,1.11
18 - 24,Victoria,1882.0,Other,Phone call,,1,1.0
55 - 64,Queensland,1901.0,Phishing,Social media/Online forums,,1,1.3
Under 18,Queensland,1901.0,"Threats to life, arrest or other",Social media/Online forums,,1,1.15
55 - 64,Queensland,1901.0,False billing,Email,,20,15.26
45 - 54,New South Wales,1935.7,False billing,In person,7702.2,1,1.47
55 - 64,Victoria,1882.0,Overpayment,Text message,,1,1.31
65 and over,Tasmania,1710.8,inheritance and unexpected money,Email,,3,1.46
55 - 64,New South Wales,1935.7,Ransomware and malware,Email,,1,2.57
25 - 34,Victoria,1882.0,Rebate,Text message,,2,1.68
25 - 34,South Australia,1776.9,Identity theft,Social media/Online forums,,1,1.67
45 - 54,New South Wales,1935.7,Other,Phone call,,16,9.92
55 - 64,New South Wales,1935.7,Overpayment,Email,,3,1.18
25 - 34,Queensland,1901.0,Classified,Internet,4150.0,3,1.99
45 - 54,Queensland,1901.0,Investment,Email,,1,1.39
35 - 44,Queensland,1901.0,Remote access,Phone call,,2,3.75
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Social media/Online forums,,1,1.08
55 - 64,Western Australia,2094.3,Online shopping,Text message,,3,2.38
Under 18,Queensland,1901.0,False billing,In person,1600.0,1,1.71
45 - 54,Northern Territory,1845.8,Investment,Social media/Online forums,2000.0,1,1.19
18 - 24,Queensland,1901.0,Classified,Social media/Online forums,1374.0,4,2.96
65 and over,Victoria,1882.0,Phishing,Text message,62116.0,69,219.84
45 - 54,New South Wales,1935.7,Identity theft,Email,,2,2.48
45 - 54,Queensland,1901.0,Online shopping,Internet,970.0,3,4.83
65 and over,Western Australia,2094.3,Identity theft,Text message,,4,5.33
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,1,1.6
18 - 24,Western Australia,2094.3,Other,Phone call,,1,1.35
55 - 64,Tasmania,1710.8,Phishing,Phone call,,3,1.96
18 - 24,Victoria,1882.0,Jobs and employment,Mobile apps,10554.0,1,1.6
18 - 24,Victoria,1882.0,Overpayment,Text message,,1,1.06
25 - 34,Victoria,1882.0,Phishing,Phone call,,8,8.05
25 - 34,Queensland,1901.0,Online shopping,Mobile apps,,1,1.17
55 - 64,New South Wales,2126.5,Phishing,Email,,1,4.08
55 - 64,Western Australia,2094.3,Other,Text message,,4,4.31
25 - 34,Queensland,1901.0,False billing,Text message,,6,12.94
35 - 44,New South Wales,1935.7,Other,Mail,,1,1.19
55 - 64,New South Wales,1935.7,Remote access,Email,0.0,2,2.45
35 - 44,Victoria,1882.0,False billing,Internet,,1,1.12
25 - 34,Western Australia,2094.3,False billing,Text message,0.0,2,3.64
35 - 44,New South Wales,1935.7,Phishing,Phone call,,13,11.26
55 - 64,Victoria,1882.0,Classified,Social media/Online forums,7600.0,3,5.4
55 - 64,Queensland,1901.0,Jobs and employment,Email,,1,1.49
35 - 44,Victoria,1882.0,Psychic and clairvoyant,Social media/Online forums,,1,1.05
55 - 64,Western Australia,2094.3,Rebate,Text message,,1,1.6
35 - 44,Victoria,1882.0,Remote access,Phone call,,3,5.31
18 - 24,Victoria,1882.0,Other,Phone call,,3,2.26
65 and over,New South Wales,1935.7,Other,Social media/Online forums,0.0,1,1.36
35 - 44,Victoria,1882.0,Remote access,Text message,0.0,1,1.38
55 - 64,Western Australia,2094.3,Investment,Mobile apps,110.0,1,1.14
55 - 64,Western Australia,2094.3,Dating and romance,Social media/Online forums,236493.15,3,1.58
55 - 64,New South Wales,1935.7,Other,Social media/Online forums,,2,1.59
45 - 54,Queensland,1901.0,inheritance and unexpected money,Mail,0.0,1,1.32
25 - 34,South Australia,1776.9,Jobs and employment,Email,5000.0,1,1.65
65 and over,Victoria,1882.0,"Travel, prizes and lottery",Mail,,1,1.31
45 - 54,Victoria,1882.0,Other,Email,,4,2.07
55 - 64,Queensland,1901.0,Identity theft,Text message,,11,5.28
55 - 64,Queensland,1901.0,False billing,Email,,28,24.64
Under 18,New South Wales,1935.7,False billing,Text message,,2,1.19
55 - 64,Queensland,1901.0,Phishing,Mobile apps,,1,1.12
35 - 44,South Australia,1776.9,Hacking,Email,,1,1.01
65 and over,Victoria,1882.0,Online shopping,Internet,1787.57,5,4.71
65 and over,Queensland,1901.0,Hacking,Phone call,,3,4.09
35 - 44,Queensland,1901.0,Identity theft,Social media/Online forums,240.0,2,1.98
65 and over,Queensland,1901.0,Rebate,Email,,7,5.12
65 and over,Victoria,1882.0,inheritance and unexpected money,Text message,,7,1.06
65 and over,Western Australia,2094.3,inheritance and unexpected money,Phone call,,1,1.06
Under 18,Queensland,1901.0,Identity theft,Mobile apps,4078.0,1,1.53
25 - 34,Queensland,1901.0,Online shopping,Social media/Online forums,1450.28,4,6.76
25 - 34,Queensland,1901.0,Hacking,Text message,,2,1.93
18 - 24,Victoria,1882.0,Identity theft,Internet,,1,1.46
65 and over,Tasmania,1710.8,inheritance and unexpected money,Text message,,1,1.1
35 - 44,Queensland,1901.0,Dating and romance,Social media/Online forums,239.28,1,1.48
45 - 54,Victoria,1882.0,Other,In person,,2,1.72
35 - 44,New South Wales,2126.5,Classified,Text message,,1,1.04
18 - 24,New South Wales,2126.5,Classified,Phone call,,1,1.03
55 - 64,New South Wales,2126.5,Identity theft,Phone call,,1,1.21
25 - 34,New South Wales,2126.5,Online shopping,Internet,25.0,3,1.11
18 - 24,Queensland,1901.0,Other,Social media/Online forums,400.0,2,1.49
25 - 34,New South Wales,2126.5,inheritance and unexpected money,Email,,1,1.03
45 - 54,Western Australia,2094.3,Classified,Mobile apps,1680.0,4,1.81
18 - 24,Queensland,1901.0,Other,Internet,120.0,1,1.52
55 - 64,Queensland,1901.0,Phishing,Phone call,,12,12.83
65 and over,Tasmania,1710.8,False billing,Text message,,5,3.05
25 - 34,Victoria,1882.0,Phishing,Text message,4804.83,19,13.19
65 and over,Queensland,1901.0,Remote access,Internet,,2,1.04
45 - 54,Western Australia,2094.3,"Threats to life, arrest or other",Phone call,,1,1.1
65 and over,New South Wales,2126.5,Online shopping,Email,,1,2.86
65 and over,New South Wales,1935.7,Other,Mobile apps,,2,1.47
45 - 54,Western Australia,2094.3,Hacking,Text message,,2,5.14
25 - 34,New South Wales,1935.7,Hacking,Phone call,,1,2.72
18 - 24,New South Wales,1935.7,False billing,Email,109350.0,3,4.21
45 - 54,New South Wales,1935.7,Classified,Internet,1600.0,1,2.45
55 - 64,Western Australia,2094.3,Remote access,Text message,,3,1.2
65 and over,Western Australia,2094.3,Remote access,Phone call,,5,2.39
55 - 64,Tasmania,1710.8,Classified,Social media/Online forums,100.0,2,3.01
45 - 54,Western Australia,2094.3,Classified,Internet,,1,1.16
25 - 34,Western Australia,2094.3,False billing,Social media/Online forums,2740.0,1,1.35
25 - 34,South Australia,1776.9,Ransomware and malware,Email,,1,1.02
65 and over,Tasmania,1710.8,Phishing,Text message,,11,15.91
55 - 64,Queensland,1901.0,Phishing,Phone call,,15,11.75
65 and over,Western Australia,2094.3,Investment,Email,2557.2,4,4.03
45 - 54,Western Australia,2094.3,Identity theft,Social media/Online forums,,1,1.91
35 - 44,Victoria,1882.0,Identity theft,Text message,0.0,8,3.92
65 and over,New South Wales,1935.7,Identity theft,Phone call,,8,8.73
65 and over,Victoria,1882.0,Online shopping,Internet,4365.0,2,5.43
55 - 64,Queensland,1901.0,Other,In person,0.0,1,1.37
55 - 64,Western Australia,2094.3,inheritance and unexpected money,Phone call,,1,1.03
35 - 44,South Australia,1776.9,Remote access,Email,,1,1.03
65 and over,Western Australia,2094.3,Online shopping,Internet,119.0,2,2.18
18 - 24,Tasmania,1710.8,Phishing,Text message,,1,1.39
18 - 24,Queensland,1901.0,Overpayment,Internet,,1,1.03
25 - 34,New South Wales,1935.7,Other,Phone call,,7,7.43
45 - 54,New South Wales,2126.5,"Threats to life, arrest or other",Email,,1,1.93
25 - 34,Queensland,1901.0,Online shopping,Internet,263.2,4,3.08
55 - 64,Queensland,1901.0,Mobile premium services,Text message,,1,1.29
65 and over,South Australia,1776.9,Online shopping,Email,87.4,2,6.02
65 and over,Queensland,1901.0,Classified,Email,,3,5.66
65 and over,Victoria,1882.0,inheritance and unexpected money,Text message,0.0,1,1.03
65 and over,Queensland,1901.0,Investment,In person,10882.23,1,1.63
18 - 24,Queensland,1901.0,Identity theft,Phone call,0.0,1,1.29
45 - 54,Victoria,1882.0,False billing,Email,,12,6.1
55 - 64,Victoria,1882.0,Investment,Internet,200.0,1,1.36
55 - 64,Queensland,1901.0,Classified,Social media/Online forums,1529.99,9,6.06
45 - 54,Victoria,1882.0,Online shopping,Text message,,3,2.45
18 - 24,New South Wales,1935.7,Dating and romance,Social media/Online forums,1710.0,3,2.03
65 and over,Queensland,1901.0,False billing,Email,1197.0,63,46.3
65 and over,South Australia,1776.9,Other,Phone call,,9,8.46
55 - 64,South Australia,1776.9,Hacking,Text message,,4,2.12
25 - 34,Queensland,1901.0,Other,Email,750.0,2,2.6
65 and over,Victoria,1882.0,Health and medical products,Phone call,,2,1.05
25 - 34,Queensland,1901.0,Hacking,Email,,1,1.71
45 - 54,Queensland,1901.0,False billing,Internet,0.0,3,1.37
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Email,25.0,1,1.68
25 - 34,South Australia,1776.9,Other,Text message,,1,1.89
65 and over,Victoria,1882.0,Other,Text message,,15,14.87
25 - 34,Western Australia,2094.3,Jobs and employment,Mail,,1,1.07
35 - 44,Victoria,1882.0,Investment,Phone call,37764.61,3,2.42
55 - 64,South Australia,1776.9,Phishing,Phone call,,3,4.33
35 - 44,Queensland,1901.0,Remote access,Email,,2,1.12
25 - 34,Victoria,1882.0,Investment,Social media/Online forums,133000.0,1,2.69
55 - 64,Queensland,1901.0,Rebate,Email,,2,3.13
45 - 54,Queensland,1901.0,False billing,Phone call,3000.0,7,3.49
18 - 24,South Australia,1776.9,"Travel, prizes and lottery",Email,,1,1.14
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,0.0,5,1.91
65 and over,Victoria,1882.0,Betting and sports investment,Text message,,1,1.06
18 - 24,South Australia,1776.9,Jobs and employment,Text message,,1,1.04
45 - 54,Queensland,1901.0,Identity theft,Phone call,,2,3.9
18 - 24,New South Wales,1935.7,Online shopping,Social media/Online forums,2226.9,10,7.65
18 - 24,Queensland,1901.0,"Threats to life, arrest or other",Phone call,10000.0,1,1.73
35 - 44,New South Wales,1935.7,Psychic and clairvoyant,Email,,1,1.69
55 - 64,Queensland,1901.0,False billing,Mobile apps,,1,1.04
25 - 34,Queensland,1901.0,Rebate,Text message,,1,2.54
65 and over,Queensland,1901.0,Health and medical products,Text message,,2,2.25
35 - 44,Victoria,1882.0,Other,Internet,135.0,2,1.48
18 - 24,Victoria,1882.0,Remote access,Email,8500.0,2,1.5
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,154.0,2,2.33
35 - 44,Queensland,1901.0,Classified,Mobile apps,150.0,1,1.36
45 - 54,New South Wales,1935.7,Dating and romance,Mobile apps,0.0,1,1.41
65 and over,Queensland,1901.0,Hacking,Phone call,,3,2.91
45 - 54,New South Wales,2126.5,Phishing,Email,,1,2.81
55 - 64,New South Wales,2126.5,Hacking,Text message,,1,1.44
35 - 44,Victoria,1882.0,Phishing,Social media/Online forums,,1,1.59
18 - 24,Queensland,1901.0,Hacking,Social media/Online forums,,1,1.13
25 - 34,Queensland,1901.0,"Threats to life, arrest or other",Text message,,1,2.3
45 - 54,Western Australia,2094.3,Phishing,Phone call,3859.98,6,7.85
35 - 44,South Australia,1776.9,Classified,Internet,170.0,1,1.47
45 - 54,Western Australia,2094.3,Investment,Social media/Online forums,,2,1.07
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,1,1.6
55 - 64,Tasmania,1710.8,Phishing,Phone call,,1,1.96
45 - 54,New South Wales,1935.7,Phishing,Social media/Online forums,,1,1.94
65 and over,Victoria,1882.0,Mobile premium services,Text message,,1,1.0
65 and over,Victoria,1882.0,Other,Phone call,,6,11.4
35 - 44,Western Australia,2094.3,Phishing,Phone call,10960.85,10,6.6
55 - 64,Queensland,1901.0,Classified,Mobile apps,,1,1.08
18 - 24,South Australia,1776.9,False billing,Text message,,1,1.48
25 - 34,Queensland,1901.0,Other,Social media/Online forums,,2,1.14
35 - 44,Tasmania,1710.8,Identity theft,Phone call,,1,1.36
35 - 44,Victoria,1882.0,Other,Email,,1,2.49
45 - 54,Victoria,1882.0,False billing,Email,,10,9.27
25 - 34,South Australia,1776.9,Other,Text message,,2,2.1
18 - 24,Victoria,1882.0,Health and medical products,Fax,,1,1.14
25 - 34,Queensland,1901.0,Other,Text message,,1,2.93
45 - 54,New South Wales,1935.7,Other,Social media/Online forums,,1,2.28
18 - 24,Victoria,1882.0,Jobs and employment,Email,217.4,1,2.2
18 - 24,Western Australia,2094.3,Phishing,Mobile apps,0.0,1,1.07
35 - 44,New South Wales,1935.7,Other,Internet,,1,1.13
45 - 54,Queensland,1901.0,Phishing,Phone call,,13,9.29
35 - 44,Queensland,1901.0,False billing,Mail,,1,1.23
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Text message,,1,1.64
55 - 64,Queensland,1901.0,Phishing,Phone call,,9,11.75
18 - 24,Victoria,1882.0,Jobs and employment,Text message,,1,1.24
25 - 34,Victoria,1882.0,"Travel, prizes and lottery",Text message,,1,1.1
18 - 24,Victoria,1882.0,Dating and romance,Text message,,1,1.91
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,4350.0,3,2.37
65 and over,Western Australia,2094.3,Identity theft,Phone call,,3,2.55
55 - 64,South Australia,1776.9,Other,Phone call,0.0,1,3.21
45 - 54,Northern Territory,1845.8,Online shopping,Social media/Online forums,150.44,1,1.28
45 - 54,New South Wales,1935.7,Mobile premium services,Phone call,0.0,2,1.81
45 - 54,New South Wales,1935.7,Rebate,Text message,,5,4.13
55 - 64,Victoria,1882.0,Classified,Email,1427.72,2,2.72
45 - 54,New South Wales,1935.7,Classified,Social media/Online forums,2100.0,8,6.35
Under 18,Western Australia,2094.3,Other,Phone call,,1,1.03
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Social media/Online forums,,1,1.1
25 - 34,Victoria,1882.0,Classified,Phone call,,2,1.46
45 - 54,Queensland,1901.0,Phishing,Mobile apps,1163.7,1,1.57
65 and over,Queensland,1901.0,Other,Social media/Online forums,,1,1.41
35 - 44,New South Wales,2126.5,Identity theft,Email,,1,1.18
18 - 24,Tasmania,1710.8,Dating and romance,Social media/Online forums,,1,1.07
55 - 64,Victoria,1882.0,"Travel, prizes and lottery",Email,,1,2.44
45 - 54,South Australia,1776.9,Identity theft,Text message,,4,2.48
45 - 54,Victoria,1882.0,Ransomware and malware,Email,,1,1.08
65 and over,South Australia,1776.9,Health and medical products,Text message,,1,2.51
25 - 34,New South Wales,2126.5,Investment,Phone call,,1,1.1
25 - 34,Victoria,1882.0,Overpayment,Phone call,0.0,1,1.71
35 - 44,Victoria,1882.0,Health and medical products,Internet,230.45,2,1.42
55 - 64,New South Wales,1935.7,Classified,Email,,3,5.3
65 and over,Tasmania,1710.8,"Threats to life, arrest or other",Email,,1,1.56
25 - 34,Victoria,1882.0,Identity theft,Mail,,1,1.0
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,,2,2.41
65 and over,New South Wales,2126.5,Ransomware and malware,Email,,1,1.48
35 - 44,Victoria,1882.0,Dating and romance,Mobile apps,,1,1.02
35 - 44,South Australia,1776.9,False billing,Text message,0.0,2,3.47
55 - 64,South Australia,1776.9,Other,Email,,1,1.64
65 and over,South Australia,1776.9,Identity theft,Email,,8,5.79
65 and over,Tasmania,1710.8,Remote access,Internet,,1,1.01
55 - 64,South Australia,1776.9,Online shopping,Phone call,,2,1.69
45 - 54,South Australia,1776.9,Phishing,Phone call,,6,4.5
45 - 54,New South Wales,1935.7,False billing,Mail,,1,1.17
18 - 24,Western Australia,2094.3,Classified,Internet,,1,1.0
25 - 34,Western Australia,2094.3,Phishing,Internet,,1,1.04
45 - 54,Victoria,1882.0,Other,Internet,157.0,3,1.39
18 - 24,New South Wales,1935.7,Jobs and employment,Phone call,1200.0,1,1.66
35 - 44,New South Wales,1935.7,Investment,Mobile apps,51000.0,2,2.05
55 - 64,Queensland,1901.0,Online shopping,Internet,129.4,2,4.85
65 and over,New South Wales,2126.5,Other,In person,450.0,1,1.37
65 and over,Queensland,1901.0,Jobs and employment,Text message,33298.06,1,1.43
55 - 64,Victoria,1882.0,Classified,Text message,750.0,3,2.37
55 - 64,Western Australia,2094.3,Rebate,Email,,2,3.18
65 and over,New South Wales,2126.5,inheritance and unexpected money,Mail,,2,1.38
45 - 54,Tasmania,1710.8,Identity theft,Text message,,3,2.84
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,4712.87,7,13.3
65 and over,South Australia,1776.9,Other,Text message,,8,6.82
55 - 64,Western Australia,2094.3,Remote access,Email,,1,1.24
65 and over,New South Wales,1935.7,Investment,Phone call,6386250.0,3,6.37
25 - 34,New South Wales,1935.7,Overpayment,In person,158.0,1,1.03
65 and over,Tasmania,1710.8,Hacking,Text message,120.0,1,1.1
65 and over,Western Australia,2094.3,Hacking,Email,,14,12.1
65 and over,Queensland,1901.0,Other,Text message,,15,16.54
45 - 54,New South Wales,1935.7,"Travel, prizes and lottery",Internet,,1,1.01
35 - 44,New South Wales,1935.7,Investment,In person,100000.0,1,1.27
65 and over,New South Wales,1935.7,False billing,In person,2000.0,1,1.44
25 - 34,Western Australia,2094.3,Classified,Internet,,1,1.0
55 - 64,New South Wales,1935.7,Online shopping,Email,,2,3.67
18 - 24,Queensland,1901.0,Phishing,Email,,1,1.9
45 - 54,Western Australia,2094.3,Online shopping,Phone call,,2,1.59
65 and over,Victoria,1882.0,Hacking,Email,,6,7.55
55 - 64,Western Australia,2094.3,Remote access,Email,,1,1.24
25 - 34,New South Wales,1935.7,Other,Email,,3,2.14
35 - 44,Victoria,1882.0,Overpayment,Mail,0.0,1,1.01
45 - 54,New South Wales,1935.7,Health and medical products,Email,0.0,1,1.16
18 - 24,New South Wales,1935.7,Hacking,Mobile apps,,1,1.39
65 and over,Victoria,1882.0,Overpayment,Email,,1,2.64
65 and over,Victoria,1882.0,"Travel, prizes and lottery",Email,,8,4.85
18 - 24,Queensland,1901.0,Identity theft,Text message,633.0,2,2.14
65 and over,Tasmania,1710.8,False billing,Phone call,,1,1.5
18 - 24,Queensland,1901.0,"Travel, prizes and lottery",Internet,,1,1.03
45 - 54,New South Wales,1935.7,Identity theft,Text message,,6,6.83
25 - 34,South Australia,1776.9,Health and medical products,Text message,,1,1.42
18 - 24,Queensland,1901.0,"Threats to life, arrest or other",Email,0.0,1,2.48
35 - 44,Victoria,1882.0,Online shopping,Internet,5002.41,11,5.99
45 - 54,Western Australia,2094.3,False billing,Social media/Online forums,142.41,1,1.07
65 and over,New South Wales,1935.7,Phishing,Fax,,1,3.6
65 and over,New South Wales,2126.5,Mobile premium services,Phone call,0.0,1,1.31
18 - 24,Victoria,1882.0,False billing,Text message,,4,1.56
55 - 64,New South Wales,1935.7,Investment,Phone call,209000.0,2,7.09
35 - 44,Queensland,1901.0,Identity theft,Text message,,4,4.91
25 - 34,New South Wales,1935.7,Identity theft,Mobile apps,,1,1.06
55 - 64,South Australia,1776.9,Dating and romance,Social media/Online forums,1500.0,1,1.36
35 - 44,Queensland,1901.0,Phishing,Email,,5,4.86
45 - 54,Tasmania,1710.8,Hacking,Phone call,0.0,1,1.47
18 - 24,Western Australia,2094.3,Rebate,Text message,,1,1.08
55 - 64,New South Wales,1935.7,Hacking,Internet,714.0,1,1.39
45 - 54,Tasmania,1710.8,Classified,Social media/Online forums,720.0,1,2.19
45 - 54,New South Wales,1935.7,Classified,Internet,2000.0,2,2.44
25 - 34,Western Australia,2094.3,Phishing,Mail,,1,1.0
65 and over,Queensland,1901.0,Investment,Email,,1,2.85
65 and over,Tasmania,1710.8,inheritance and unexpected money,Social media/Online forums,4000.0,1,1.2
65 and over,New South Wales,2126.5,Hacking,Internet,,2,1.09
45 - 54,Queensland,1901.0,Hacking,Social media/Online forums,0.0,1,1.76
18 - 24,Victoria,1882.0,Other,Phone call,,3,1.0
18 - 24,Queensland,1901.0,Other,Phone call,880.0,3,3.51
18 - 24,New South Wales,1935.7,Identity theft,In person,,1,1.12
45 - 54,Queensland,1901.0,False billing,Social media/Online forums,599.1,3,1.38
Under 18,Victoria,1882.0,Online shopping,Social media/Online forums,88.34,1,1.37
25 - 34,South Australia,1776.9,Hacking,Phone call,,1,1.0
Under 18,Western Australia,2094.3,Hacking,Social media/Online forums,,1,1.04
55 - 64,Queensland,1901.0,Fake charity,In person,,1,1.14
25 - 34,Queensland,1901.0,Classified,Social media/Online forums,1800.0,6,5.97
35 - 44,Western Australia,2094.3,Other,Phone call,,3,4.6
65 and over,Queensland,1901.0,"Threats to life, arrest or other",Email,,7,1.86
Under 18,New South Wales,1935.7,Identity theft,Text message,,1,1.33
65 and over,Queensland,1901.0,Hacking,Phone call,,3,4.09
35 - 44,Western Australia,2094.3,Identity theft,Internet,0.0,1,1.1
25 - 34,New South Wales,1935.7,Phishing,Text message,,18,32.39
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Social media/Online forums,2000.0,1,1.42
65 and over,Victoria,1882.0,Other,Social media/Online forums,100.0,1,2.78
25 - 34,Western Australia,2094.3,"Travel, prizes and lottery",Text message,,1,1.03
25 - 34,Victoria,1882.0,Online shopping,Social media/Online forums,483.9,2,4.41
45 - 54,New South Wales,1935.7,Other,Text message,,6,8.26
18 - 24,Western Australia,2094.3,Jobs and employment,Social media/Online forums,0.0,1,1.04
65 and over,South Australia,1776.9,False billing,Email,15557.58,16,23.46
45 - 54,South Australia,1776.9,False billing,Email,0.0,3,3.39
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Email,,1,1.2
45 - 54,Victoria,1882.0,Online shopping,Text message,,1,3.49
45 - 54,Victoria,1882.0,Rebate,Email,0.0,5,1.52
35 - 44,Victoria,1882.0,Other,Phone call,,4,5.48
65 and over,Northern Territory,1845.8,Other,Phone call,,3,2.31
25 - 34,New South Wales,2126.5,Classified,Email,700.0,1,1.87
55 - 64,Western Australia,2094.3,Ransomware and malware,Email,,1,1.75
35 - 44,New South Wales,1935.7,Classified,Social media/Online forums,5420.0,9,6.43
45 - 54,New South Wales,2126.5,Health and medical products,Text message,,1,1.4
18 - 24,New South Wales,2126.5,Jobs and employment,Mobile apps,4050.0,1,1.2
55 - 64,New South Wales,1935.7,Classified,Email,2083.0,5,3.4
45 - 54,Queensland,1901.0,Classified,Email,,1,2.03
65 and over,Victoria,1882.0,Investment,Phone call,50425.1,2,4.98
35 - 44,Victoria,1882.0,Investment,Phone call,1835000.0,4,3.84
18 - 24,New South Wales,2126.5,Other,Text message,,1,1.11
65 and over,New South Wales,1935.7,Phishing,Social media/Online forums,,2,2.36
18 - 24,Tasmania,1710.8,Classified,Mail,,1,1.0
45 - 54,New South Wales,1935.7,Investment,Social media/Online forums,297.0,2,2.44
35 - 44,South Australia,1776.9,Identity theft,Email,,1,1.51
65 and over,Tasmania,1710.8,Investment,Email,296.0,1,3.4
35 - 44,New South Wales,1935.7,Online shopping,Internet,547.51,9,5.9
25 - 34,Queensland,1901.0,Identity theft,Phone call,,1,3.97
18 - 24,Western Australia,2094.3,Classified,Social media/Online forums,450.0,1,1.4
35 - 44,Queensland,1901.0,Overpayment,Social media/Online forums,,1,1.07
35 - 44,New South Wales,1935.7,Phishing,Text message,,58,48.73
35 - 44,Queensland,1901.0,Identity theft,Social media/Online forums,,1,1.17
55 - 64,Queensland,1901.0,Remote access,Internet,0.0,2,1.29
55 - 64,Queensland,1901.0,Online shopping,Email,,4,2.84
55 - 64,Queensland,1901.0,Remote access,Email,,1,1.7
35 - 44,Western Australia,2094.3,False billing,Mail,0.0,1,1.25
25 - 34,New South Wales,1935.7,Ransomware and malware,Phone call,0.0,1,1.54
55 - 64,Victoria,1882.0,Online shopping,Text message,,3,9.38
45 - 54,New South Wales,1935.7,Dating and romance,Email,,1,1.19
18 - 24,Victoria,1882.0,False billing,Mail,,1,1.0
25 - 34,New South Wales,1935.7,Classified,Text message,,2,1.61
18 - 24,Victoria,1882.0,"Threats to life, arrest or other",Email,,1,1.88
45 - 54,Queensland,1901.0,Phishing,Phone call,,7,9.29
55 - 64,Queensland,1901.0,Health and medical products,Internet,,1,1.0
55 - 64,Victoria,1882.0,"Travel, prizes and lottery",Email,,2,2.44
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,600.0,2,2.43
45 - 54,Tasmania,1710.8,Other,Email,795.0,2,1.35
35 - 44,Victoria,1882.0,Identity theft,Email,71303.77,3,9.03
25 - 34,Northern Territory,1845.8,Other,In person,,1,1.02
Under 18,Queensland,1901.0,Other,Phone call,,1,1.57
