Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,Queensland,1901,"Travel, prizes and lottery",Social media/Online forums,0,1,1.28
Under 18,New South Wales,1935.7,False billing,Text message,0,1,5.52
25 - 34,South Australia,1776.9,Online shopping,Social media/Online forums,153.7,2,0.73
18 - 24,New South Wales,2126.5,"Threats to life, arrest or other",Email,0,1,0
35 - 44,Queensland,1901,Other,Social media/Online forums,0,1,2.18
45 - 54,New South Wales,1935.7,Phishing,Email,0,31,42.54
55 - 64,Queensland,1901,"Travel, prizes and lottery",Email,0,1,3.03
35 - 44,South Australia,1776.9,Online shopping,Internet,194.68,5,0.54
55 - 64,Queensland,1901,Classified,Text message,1200,2,4.33
35 - 44,South Australia,1776.9,Phishing,Email,0,1,6.24
65 and over,Queensland,1901,False billing,Text message,0,15,12.11
65 and over,Victoria,1882,Overpayment,Email,0,6,5.81
55 - 64,Victoria,1882,Online shopping,Phone call,0,2,5.18
45 - 54,New South Wales,1935.7,Phishing,Social media/Online forums,0,1,9.81
65 and over,Queensland,1901,Phishing,Phone call,20000,25,47.05
65 and over,Queensland,1901,Hacking,Phone call,0,3,4.44
35 - 44,Western Australia,2094.3,False billing,Phone call,0,1,2.8
65 and over,Western Australia,2094.3,Other,Mail,0,1,1.74
18 - 24,New South Wales,1935.7,Identity theft,Mobile apps,0,1,1.51
45 - 54,Western Australia,2094.3,Online shopping,Internet,1100,2,2.1
65 and over,South Australia,1776.9,Phishing,Social media/Online forums,16.39,1,4.65
35 - 44,South Australia,1776.9,Classified,Email,0,1,1.14
18 - 24,Western Australia,2094.3,Online shopping,Social media/Online forums,60.9,1,0.28
35 - 44,New South Wales,2126.5,Phishing,Text message,0,6,6.28
35 - 44,Western Australia,2094.3,Other,Mail,0,1,0.4
25 - 34,Queensland,1901,"Travel, prizes and lottery",Email,0,1,1.17
55 - 64,Victoria,1882,Classified,Text message,0,1,4.47
