Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
45 - 54,South Australia,1776.9,Health and medical products,Social media/Online forums,3300,1,1.53
25 - 34,Western Australia,2094.3,Remote access,Phone call,0,1,0.86
65 and over,Western Australia,2094.3,Rebate,Text message,0,1,2.78
65 and over,South Australia,1776.9,Remote access,Internet,0,1,0.32
25 - 34,Victoria,1882,Investment,Phone call,0,2,1.79
45 - 54,South Australia,1776.9,Identity theft,Text message,0,2,2.91
35 - 44,New South Wales,1935.7,Other,Internet,775.51,1,3.2
55 - 64,New South Wales,1935.7,Betting and sports investment,Social media/Online forums,0,1,1.62
18 - 24,Western Australia,2094.3,Other,Phone call,0,1,0.96
18 - 24,Victoria,1882,Other,Phone call,0,1,2.48
55 - 64,Queensland,1901,Phishing,Social media/Online forums,0,1,6.48
Under 18,Queensland,1901,"Threats to life, arrest or other",Social media/Online forums,0,1,0
55 - 64,Queensland,1901,False billing,Email,0,20,8.47
45 - 54,New South Wales,1935.7,False billing,In person,7702.2,1,4.28
55 - 64,Victoria,1882,Overpayment,Text message,0,1,3.35
65 and over,Tasmania,1710.8,inheritance and unexpected money,Email,0,3,1.83
55 - 64,New South Wales,1935.7,Ransomware and malware,Email,0,1,3.31
25 - 34,Victoria,1882,Rebate,Text message,0,2,1.86
25 - 34,South Australia,1776.9,Identity theft,Social media/Online forums,0,1,0.81
45 - 54,New South Wales,1935.7,Other,Phone call,0,16,4.76
55 - 64,New South Wales,1935.7,Overpayment,Email,0,3,3.31
25 - 34,Queensland,1901,Classified,Internet,4150,3,1.96
45 - 54,Queensland,1901,Investment,Email,0,1,2.15
35 - 44,Queensland,1901,Remote access,Phone call,0,2,1.77
25 - 34,Victoria,1882,"Threats to life, arrest or other",Social media/Online forums,0,1,1
55 - 64,Western Australia,2094.3,Online shopping,Text message,0,3,6.13
Under 18,Queensland,1901,False billing,In person,1600,1,1.33
45 - 54,Northern Territory,1845.8,Investment,Social media/Online forums,2000,1,1.49
18 - 24,Queensland,1901,Classified,Social media/Online forums,1374,4,2.36
65 and over,Victoria,1882,Phishing,Text message,62116,69,112.43
45 - 54,New South Wales,1935.7,Identity theft,Email,0,2,5.72
45 - 54,Queensland,1901,Online shopping,Internet,970,3,2.94
65 and over,Western Australia,2094.3,Identity theft,Text message,0,4,6.09
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,1.43
18 - 24,Western Australia,2094.3,Other,Phone call,0,1,0.96
55 - 64,Tasmania,1710.8,Phishing,Phone call,0,3,0.43
18 - 24,Victoria,1882,Jobs and employment,Mobile apps,10554,1,1.87
18 - 24,Victoria,1882,Overpayment,Text message,0,1,1.39
25 - 34,Victoria,1882,Phishing,Phone call,0,8,7.91
25 - 34,Queensland,1901,Online shopping,Mobile apps,0,1,1.09
55 - 64,New South Wales,2126.5,Phishing,Email,0,1,18.37
55 - 64,Western Australia,2094.3,Other,Text message,0,4,6.13
25 - 34,Queensland,1901,False billing,Text message,0,6,5.63
35 - 44,New South Wales,1935.7,Other,Mail,0,1,2.03
55 - 64,New South Wales,1935.7,Remote access,Email,0,2,3.78
35 - 44,Victoria,1882,False billing,Internet,0,1,2.2
25 - 34,Western Australia,2094.3,False billing,Text message,0,2,4.35
35 - 44,New South Wales,1935.7,Phishing,Phone call,0,13,9.69
55 - 64,Victoria,1882,Classified,Social media/Online forums,7600,3,3.39
55 - 64,Queensland,1901,Jobs and employment,Email,0,1,3.03
35 - 44,Victoria,1882,Psychic and clairvoyant,Social media/Online forums,0,1,1.29
55 - 64,Western Australia,2094.3,Rebate,Text message,0,1,1.95
35 - 44,Victoria,1882,Remote access,Phone call,0,3,2.11
18 - 24,Victoria,1882,Other,Phone call,0,3,2.48
65 and over,New South Wales,1935.7,Other,Social media/Online forums,0,1,5.98
35 - 44,Victoria,1882,Remote access,Text message,0,1,2.54
55 - 64,Western Australia,2094.3,Investment,Mobile apps,110,1,0.59
55 - 64,Western Australia,2094.3,Dating and romance,Social media/Online forums,236493.15,3,1.51
55 - 64,New South Wales,1935.7,Other,Social media/Online forums,0,2,4.4
45 - 54,Queensland,1901,inheritance and unexpected money,Mail,0,1,0.89
25 - 34,South Australia,1776.9,Jobs and employment,Email,5000,1,0.12
65 and over,Victoria,1882,"Travel, prizes and lottery",Mail,0,1,1.55
45 - 54,Victoria,1882,Other,Email,0,4,6.37
55 - 64,Queensland,1901,Identity theft,Text message,0,11,6.2
55 - 64,Queensland,1901,False billing,Email,0,28,8.47
Under 18,New South Wales,1935.7,False billing,Text message,0,2,5.52
55 - 64,Queensland,1901,Phishing,Mobile apps,0,1,3.63
35 - 44,South Australia,1776.9,Hacking,Email,0,1,1.14
65 and over,Victoria,1882,Online shopping,Internet,1787.57,5,5.74
65 and over,Queensland,1901,Hacking,Phone call,0,3,4.44
35 - 44,Queensland,1901,Identity theft,Social media/Online forums,240,2,2.64
65 and over,Queensland,1901,Rebate,Email,0,7,6.09
65 and over,Victoria,1882,inheritance and unexpected money,Text message,0,7,5
65 and over,Western Australia,2094.3,inheritance and unexpected money,Phone call,0,1,1.31
Under 18,Queensland,1901,Identity theft,Mobile apps,4078,1,0.07
25 - 34,Queensland,1901,Online shopping,Social media/Online forums,1450.28,4,3.3
25 - 34,Queensland,1901,Hacking,Text message,0,2,2.36
18 - 24,Victoria,1882,Identity theft,Internet,0,1,1.31
65 and over,Tasmania,1710.8,inheritance and unexpected money,Text message,0,1,1.02
35 - 44,Queensland,1901,Dating and romance,Social media/Online forums,239.28,1,1.12
45 - 54,Victoria,1882,Other,In person,0,2,2
35 - 44,New South Wales,2126.5,Classified,Text message,0,1,0.18
18 - 24,New South Wales,2126.5,Classified,Phone call,0,1,0.41
55 - 64,New South Wales,2126.5,Identity theft,Phone call,0,1,2.15
25 - 34,New South Wales,2126.5,Online shopping,Internet,25,3,0
18 - 24,Queensland,1901,Other,Social media/Online forums,400,2,1.92
25 - 34,New South Wales,2126.5,inheritance and unexpected money,Email,0,1,0
45 - 54,Western Australia,2094.3,Classified,Mobile apps,1680,4,1.55
18 - 24,Queensland,1901,Other,Internet,120,1,0.95
55 - 64,Queensland,1901,Phishing,Phone call,0,12,13.4
65 and over,Tasmania,1710.8,False billing,Text message,0,5,7.27
25 - 34,Victoria,1882,Phishing,Text message,4804.83,19,37.9
65 and over,Queensland,1901,Remote access,Internet,0,2,1.46
45 - 54,Western Australia,2094.3,"Threats to life, arrest or other",Phone call,0,1,1.02
65 and over,New South Wales,2126.5,Online shopping,Email,0,1,6.42
65 and over,New South Wales,1935.7,Other,Mobile apps,0,2,4.11
45 - 54,Western Australia,2094.3,Hacking,Text message,0,2,2.07
25 - 34,New South Wales,1935.7,Hacking,Phone call,0,1,2.42
18 - 24,New South Wales,1935.7,False billing,Email,109350,3,6.18
45 - 54,New South Wales,1935.7,Classified,Internet,1600,1,2.79
55 - 64,Western Australia,2094.3,Remote access,Text message,0,3,2.23
65 and over,Western Australia,2094.3,Remote access,Phone call,0,5,2.15
55 - 64,Tasmania,1710.8,Classified,Social media/Online forums,100,2,0.72
45 - 54,Western Australia,2094.3,Classified,Internet,0,1,0.78
25 - 34,Western Australia,2094.3,False billing,Social media/Online forums,2740,1,2.51
25 - 34,South Australia,1776.9,Ransomware and malware,Email,0,1,0
65 and over,Tasmania,1710.8,Phishing,Text message,0,11,33.3
55 - 64,Queensland,1901,Phishing,Phone call,0,15,13.4
65 and over,Western Australia,2094.3,Investment,Email,2557.2,4,13.96
45 - 54,Western Australia,2094.3,Identity theft,Social media/Online forums,0,1,2.04
35 - 44,Victoria,1882,Identity theft,Text message,0,8,5.25
65 and over,New South Wales,1935.7,Identity theft,Phone call,0,8,6.5
65 and over,Victoria,1882,Online shopping,Internet,4365,2,5.74
55 - 64,Queensland,1901,Other,In person,0,1,2.45
55 - 64,Western Australia,2094.3,inheritance and unexpected money,Phone call,0,1,1.3
35 - 44,South Australia,1776.9,Remote access,Email,0,1,0.49
65 and over,Western Australia,2094.3,Online shopping,Internet,119,2,2.29
18 - 24,Tasmania,1710.8,Phishing,Text message,0,1,0
18 - 24,Queensland,1901,Overpayment,Internet,0,1,0.3
25 - 34,New South Wales,1935.7,Other,Phone call,0,7,3.77
45 - 54,New South Wales,2126.5,"Threats to life, arrest or other",Email,0,1,0
25 - 34,Queensland,1901,Online shopping,Internet,263.2,4,1.54
55 - 64,Queensland,1901,Mobile premium services,Text message,0,1,3.01
65 and over,South Australia,1776.9,Online shopping,Email,87.4,2,9.22
65 and over,Queensland,1901,Classified,Email,0,3,7.35
65 and over,Victoria,1882,inheritance and unexpected money,Text message,0,1,5
65 and over,Queensland,1901,Investment,In person,10882.23,1,2.3
18 - 24,Queensland,1901,Identity theft,Phone call,0,1,2.06
45 - 54,Victoria,1882,False billing,Email,0,12,7.02
55 - 64,Victoria,1882,Investment,Internet,200,1,1.64
55 - 64,Queensland,1901,Classified,Social media/Online forums,1529.99,9,3.02
45 - 54,Victoria,1882,Online shopping,Text message,0,3,7.1
18 - 24,New South Wales,1935.7,Dating and romance,Social media/Online forums,1710,3,1.78
65 and over,Queensland,1901,False billing,Email,1197,63,23.43
65 and over,South Australia,1776.9,Other,Phone call,0,9,5.07
55 - 64,South Australia,1776.9,Hacking,Text message,0,4,2.19
25 - 34,Queensland,1901,Other,Email,750,2,5.41
65 and over,Victoria,1882,Health and medical products,Phone call,0,2,2.95
25 - 34,Queensland,1901,Hacking,Email,0,1,2
45 - 54,Queensland,1901,False billing,Internet,0,3,2.17
25 - 34,Victoria,1882,"Threats to life, arrest or other",Email,25,1,1.5
25 - 34,South Australia,1776.9,Other,Text message,0,1,2.59
65 and over,Victoria,1882,Other,Text message,0,15,12.07
25 - 34,Western Australia,2094.3,Jobs and employment,Mail,0,1,0.2
35 - 44,Victoria,1882,Investment,Phone call,37764.61,3,2.72
55 - 64,South Australia,1776.9,Phishing,Phone call,0,3,4.16
35 - 44,Queensland,1901,Remote access,Email,0,2,1.85
25 - 34,Victoria,1882,Investment,Social media/Online forums,133000,1,2.23
55 - 64,Queensland,1901,Rebate,Email,0,2,3.03
45 - 54,Queensland,1901,False billing,Phone call,3000,7,5.08
18 - 24,South Australia,1776.9,"Travel, prizes and lottery",Email,0,1,0
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,0,5,1.04
65 and over,Victoria,1882,Betting and sports investment,Text message,0,1,5
18 - 24,South Australia,1776.9,Jobs and employment,Text message,0,1,0
45 - 54,Queensland,1901,Identity theft,Phone call,0,2,3.52
18 - 24,New South Wales,1935.7,Online shopping,Social media/Online forums,2226.9,10,3.64
18 - 24,Queensland,1901,"Threats to life, arrest or other",Phone call,10000,1,1.54
35 - 44,New South Wales,1935.7,Psychic and clairvoyant,Email,0,1,1.74
55 - 64,Queensland,1901,False billing,Mobile apps,0,1,2.82
25 - 34,Queensland,1901,Rebate,Text message,0,1,1.53
65 and over,Queensland,1901,Health and medical products,Text message,0,2,4.66
35 - 44,Victoria,1882,Other,Internet,135,2,1.99
18 - 24,Victoria,1882,Remote access,Email,8500,2,1.86
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,154,2,1.06
35 - 44,Queensland,1901,Classified,Mobile apps,150,1,1.45
45 - 54,New South Wales,1935.7,Dating and romance,Mobile apps,0,1,1.04
65 and over,Queensland,1901,Hacking,Phone call,0,3,4.44
45 - 54,New South Wales,2126.5,Phishing,Email,0,1,11.21
55 - 64,New South Wales,2126.5,Hacking,Text message,0,1,0.83
35 - 44,Victoria,1882,Phishing,Social media/Online forums,0,1,3.04
18 - 24,Queensland,1901,Hacking,Social media/Online forums,0,1,1.29
25 - 34,Queensland,1901,"Threats to life, arrest or other",Text message,0,1,1.53
45 - 54,Western Australia,2094.3,Phishing,Phone call,3859.98,6,1.91
35 - 44,South Australia,1776.9,Classified,Internet,170,1,0.83
45 - 54,Western Australia,2094.3,Investment,Social media/Online forums,0,2,0.94
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,1.43
55 - 64,Tasmania,1710.8,Phishing,Phone call,0,1,0.43
45 - 54,New South Wales,1935.7,Phishing,Social media/Online forums,0,1,9.81
65 and over,Victoria,1882,Mobile premium services,Text message,0,1,5
65 and over,Victoria,1882,Other,Phone call,0,6,7.62
35 - 44,Western Australia,2094.3,Phishing,Phone call,10960.85,10,0
55 - 64,Queensland,1901,Classified,Mobile apps,0,1,1.41
18 - 24,South Australia,1776.9,False billing,Text message,0,1,2.54
25 - 34,Queensland,1901,Other,Social media/Online forums,0,2,1.85
35 - 44,Tasmania,1710.8,Identity theft,Phone call,0,1,1.72
35 - 44,Victoria,1882,Other,Email,0,1,5.73
45 - 54,Victoria,1882,False billing,Email,0,10,7.02
25 - 34,South Australia,1776.9,Other,Text message,0,2,2.59
18 - 24,Victoria,1882,Health and medical products,Fax,0,1,0.69
25 - 34,Queensland,1901,Other,Text message,0,1,5.26
45 - 54,New South Wales,1935.7,Other,Social media/Online forums,0,1,3.58
18 - 24,Victoria,1882,Jobs and employment,Email,217.4,1,1.19
18 - 24,Western Australia,2094.3,Phishing,Mobile apps,0,1,0
35 - 44,New South Wales,1935.7,Other,Internet,0,1,2.06
45 - 54,Queensland,1901,Phishing,Phone call,0,13,12.65
35 - 44,Queensland,1901,False billing,Mail,0,1,1.79
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Text message,0,1,1.28
55 - 64,Queensland,1901,Phishing,Phone call,0,9,13.4
18 - 24,Victoria,1882,Jobs and employment,Text message,0,1,1.48
25 - 34,Victoria,1882,"Travel, prizes and lottery",Text message,0,1,1.86
18 - 24,Victoria,1882,Dating and romance,Text message,0,1,1.48
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,4350,3,2.3
65 and over,Western Australia,2094.3,Identity theft,Phone call,0,3,4.1
55 - 64,South Australia,1776.9,Other,Phone call,0,1,3.08
45 - 54,Northern Territory,1845.8,Online shopping,Social media/Online forums,150.44,1,0.61
45 - 54,New South Wales,1935.7,Mobile premium services,Phone call,0,2,2.06
45 - 54,New South Wales,1935.7,Rebate,Text message,0,5,2.71
55 - 64,Victoria,1882,Classified,Email,1427.72,2,4.48
45 - 54,New South Wales,1935.7,Classified,Social media/Online forums,2100,8,3.58
Under 18,Western Australia,2094.3,Other,Phone call,0,1,1.35
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Social media/Online forums,0,1,0.44
25 - 34,Victoria,1882,Classified,Phone call,0,2,2.34
45 - 54,Queensland,1901,Phishing,Mobile apps,1163.7,1,3.91
65 and over,Queensland,1901,Other,Social media/Online forums,0,1,5.02
35 - 44,New South Wales,2126.5,Identity theft,Email,0,1,1.79
18 - 24,Tasmania,1710.8,Dating and romance,Social media/Online forums,0,1,0
55 - 64,Victoria,1882,"Travel, prizes and lottery",Email,0,1,3.37
45 - 54,South Australia,1776.9,Identity theft,Text message,0,4,2.91
45 - 54,Victoria,1882,Ransomware and malware,Email,0,1,2.12
65 and over,South Australia,1776.9,Health and medical products,Text message,0,1,2.33
25 - 34,New South Wales,2126.5,Investment,Phone call,0,1,0.57
25 - 34,Victoria,1882,Overpayment,Phone call,0,1,1.49
35 - 44,Victoria,1882,Health and medical products,Internet,230.45,2,1.28
55 - 64,New South Wales,1935.7,Classified,Email,0,3,4.59
65 and over,Tasmania,1710.8,"Threats to life, arrest or other",Email,0,1,2.13
25 - 34,Victoria,1882,Identity theft,Mail,0,1,1.6
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,0,2,3.46
65 and over,New South Wales,2126.5,Ransomware and malware,Email,0,1,1.34
35 - 44,Victoria,1882,Dating and romance,Mobile apps,0,1,1.22
35 - 44,South Australia,1776.9,False billing,Text message,0,2,4.19
55 - 64,South Australia,1776.9,Other,Email,0,1,5.05
65 and over,South Australia,1776.9,Identity theft,Email,0,8,6.42
65 and over,Tasmania,1710.8,Remote access,Internet,0,1,0
55 - 64,South Australia,1776.9,Online shopping,Phone call,0,2,3.08
45 - 54,South Australia,1776.9,Phishing,Phone call,0,6,5.58
45 - 54,New South Wales,1935.7,False billing,Mail,0,1,2.71
18 - 24,Western Australia,2094.3,Classified,Internet,0,1,0.22
25 - 34,Western Australia,2094.3,Phishing,Internet,0,1,0
45 - 54,Victoria,1882,Other,Internet,157,3,2.29
18 - 24,New South Wales,1935.7,Jobs and employment,Phone call,1200,1,1.77
35 - 44,New South Wales,1935.7,Investment,Mobile apps,51000,2,2.19
55 - 64,Queensland,1901,Online shopping,Internet,129.4,2,2.68
65 and over,New South Wales,2126.5,Other,In person,450,1,1.25
65 and over,Queensland,1901,Jobs and employment,Text message,33298.06,1,15.61
55 - 64,Victoria,1882,Classified,Text message,750,3,4.67
55 - 64,Western Australia,2094.3,Rebate,Email,0,2,1.77
65 and over,New South Wales,2126.5,inheritance and unexpected money,Mail,0,2,0
45 - 54,Tasmania,1710.8,Identity theft,Text message,0,3,1.69
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,4712.87,7,5.04
65 and over,South Australia,1776.9,Other,Text message,0,8,8.35
55 - 64,Western Australia,2094.3,Remote access,Email,0,1,2.05
65 and over,New South Wales,1935.7,Investment,Phone call,6386250,3,0
25 - 34,New South Wales,1935.7,Overpayment,In person,158,1,0.83
65 and over,Tasmania,1710.8,Hacking,Text message,120,1,2.68
65 and over,Western Australia,2094.3,Hacking,Email,0,14,4.71
65 and over,Queensland,1901,Other,Text message,0,15,11.73
45 - 54,New South Wales,1935.7,"Travel, prizes and lottery",Internet,0,1,1.1
35 - 44,New South Wales,1935.7,Investment,In person,100000,1,2.19
65 and over,New South Wales,1935.7,False billing,In person,2000,1,5.59
25 - 34,Western Australia,2094.3,Classified,Internet,0,1,0.4
55 - 64,New South Wales,1935.7,Online shopping,Email,0,2,8.78
18 - 24,Queensland,1901,Phishing,Email,0,1,10.53
45 - 54,Western Australia,2094.3,Online shopping,Phone call,0,2,2.62
65 and over,Victoria,1882,Hacking,Email,0,6,7.69
55 - 64,Western Australia,2094.3,Remote access,Email,0,1,2.05
25 - 34,New South Wales,1935.7,Other,Email,0,3,5.27
35 - 44,Victoria,1882,Overpayment,Mail,0,1,1.19
45 - 54,New South Wales,1935.7,Health and medical products,Email,0,1,2.26
18 - 24,New South Wales,1935.7,Hacking,Mobile apps,0,1,1.03
65 and over,Victoria,1882,Overpayment,Email,0,1,5.81
65 and over,Victoria,1882,"Travel, prizes and lottery",Email,0,8,6.43
18 - 24,Queensland,1901,Identity theft,Text message,633,2,3.69
65 and over,Tasmania,1710.8,False billing,Phone call,0,1,3.94
18 - 24,Queensland,1901,"Travel, prizes and lottery",Internet,0,1,0.32
45 - 54,New South Wales,1935.7,Identity theft,Text message,0,6,6.18
25 - 34,South Australia,1776.9,Health and medical products,Text message,0,1,0
18 - 24,Queensland,1901,"Threats to life, arrest or other",Email,0,1,0.79
35 - 44,Victoria,1882,Online shopping,Internet,5002.41,11,3.35
45 - 54,Western Australia,2094.3,False billing,Social media/Online forums,142.41,1,1.98
65 and over,New South Wales,1935.7,Phishing,Fax,0,1,15.87
65 and over,New South Wales,2126.5,Mobile premium services,Phone call,0,1,0.37
18 - 24,Victoria,1882,False billing,Text message,0,4,5.03
55 - 64,New South Wales,1935.7,Investment,Phone call,209000,2,3.28
35 - 44,Queensland,1901,Identity theft,Text message,0,4,4.92
25 - 34,New South Wales,1935.7,Identity theft,Mobile apps,0,1,1.94
55 - 64,South Australia,1776.9,Dating and romance,Social media/Online forums,1500,1,1.07
35 - 44,Queensland,1901,Phishing,Email,0,5,20.97
45 - 54,Tasmania,1710.8,Hacking,Phone call,0,1,1.13
18 - 24,Western Australia,2094.3,Rebate,Text message,0,1,0.2
55 - 64,New South Wales,1935.7,Hacking,Internet,714,1,2.63
45 - 54,Tasmania,1710.8,Classified,Social media/Online forums,720,1,1.73
45 - 54,New South Wales,1935.7,Classified,Internet,2000,2,2.79
25 - 34,Western Australia,2094.3,Phishing,Mail,0,1,0
65 and over,Queensland,1901,Investment,Email,0,1,6.37
65 and over,Tasmania,1710.8,inheritance and unexpected money,Social media/Online forums,4000,1,0.19
65 and over,New South Wales,2126.5,Hacking,Internet,0,2,0.37
45 - 54,Queensland,1901,Hacking,Social media/Online forums,0,1,2.01
18 - 24,Victoria,1882,Other,Phone call,0,3,2.48
18 - 24,Queensland,1901,Other,Phone call,880,3,2.94
18 - 24,New South Wales,1935.7,Identity theft,In person,0,1,1.51
45 - 54,Queensland,1901,False billing,Social media/Online forums,599.1,3,3.55
Under 18,Victoria,1882,Online shopping,Social media/Online forums,88.34,1,1.67
25 - 34,South Australia,1776.9,Hacking,Phone call,0,1,1.25
Under 18,Western Australia,2094.3,Hacking,Social media/Online forums,0,1,0.37
55 - 64,Queensland,1901,Fake charity,In person,0,1,0.87
25 - 34,Queensland,1901,Classified,Social media/Online forums,1800,6,2.42
35 - 44,Western Australia,2094.3,Other,Phone call,0,3,2.17
65 and over,Queensland,1901,"Threats to life, arrest or other",Email,0,7,6.09
Under 18,New South Wales,1935.7,Identity theft,Text message,0,1,3.05
65 and over,Queensland,1901,Hacking,Phone call,0,3,4.44
35 - 44,Western Australia,2094.3,Identity theft,Internet,0,1,1.25
25 - 34,New South Wales,1935.7,Phishing,Text message,0,18,30.46
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Social media/Online forums,2000,1,1.78
65 and over,Victoria,1882,Other,Social media/Online forums,100,1,5.51
25 - 34,Western Australia,2094.3,"Travel, prizes and lottery",Text message,0,1,0.58
25 - 34,Victoria,1882,Online shopping,Social media/Online forums,483.9,2,2.8
45 - 54,New South Wales,1935.7,Other,Text message,0,6,7.73
18 - 24,Western Australia,2094.3,Jobs and employment,Social media/Online forums,0,1,0.03
65 and over,South Australia,1776.9,False billing,Email,15557.58,16,20.84
45 - 54,South Australia,1776.9,False billing,Email,0,3,4.7
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Email,0,1,0.84
45 - 54,Victoria,1882,Online shopping,Text message,0,1,7.1
45 - 54,Victoria,1882,Rebate,Email,0,5,2.21
35 - 44,Victoria,1882,Other,Phone call,0,4,3.69
65 and over,Northern Territory,1845.8,Other,Phone call,0,3,2.73
25 - 34,New South Wales,2126.5,Classified,Email,700,1,0
55 - 64,Western Australia,2094.3,Ransomware and malware,Email,0,1,1.57
35 - 44,New South Wales,1935.7,Classified,Social media/Online forums,5420,9,3.24
45 - 54,New South Wales,2126.5,Health and medical products,Text message,0,1,0
18 - 24,New South Wales,2126.5,Jobs and employment,Mobile apps,4050,1,0.64
55 - 64,New South Wales,1935.7,Classified,Email,2083,5,4.78
45 - 54,Queensland,1901,Classified,Email,0,1,2.79
65 and over,Victoria,1882,Investment,Phone call,50425.1,2,4.19
35 - 44,Victoria,1882,Investment,Phone call,1835000,4,2.72
18 - 24,New South Wales,2126.5,Other,Text message,0,1,1.36
65 and over,New South Wales,1935.7,Phishing,Social media/Online forums,0,2,20.36
18 - 24,Tasmania,1710.8,Classified,Mail,0,1,0
45 - 54,New South Wales,1935.7,Investment,Social media/Online forums,297,2,1.99
35 - 44,South Australia,1776.9,Identity theft,Email,0,1,2.48
65 and over,Tasmania,1710.8,Investment,Email,296,1,3.54
35 - 44,New South Wales,1935.7,Online shopping,Internet,547.51,9,2.88
25 - 34,Queensland,1901,Identity theft,Phone call,0,1,2.99
18 - 24,Western Australia,2094.3,Classified,Social media/Online forums,450,1,0.85
35 - 44,Queensland,1901,Overpayment,Social media/Online forums,0,1,0.96
35 - 44,New South Wales,1935.7,Phishing,Text message,0,58,33.82
35 - 44,Queensland,1901,Identity theft,Social media/Online forums,0,1,2.5
55 - 64,Queensland,1901,Remote access,Internet,0,2,1.17
55 - 64,Queensland,1901,Online shopping,Email,0,4,7.82
55 - 64,Queensland,1901,Remote access,Email,0,1,3.31
35 - 44,Western Australia,2094.3,False billing,Mail,0,1,1.03
25 - 34,New South Wales,1935.7,Ransomware and malware,Phone call,0,1,1.41
55 - 64,Victoria,1882,Online shopping,Text message,0,3,8.71
45 - 54,New South Wales,1935.7,Dating and romance,Email,0,1,2.35
18 - 24,Victoria,1882,False billing,Mail,0,1,1.31
25 - 34,New South Wales,1935.7,Classified,Text message,0,2,2.77
18 - 24,Victoria,1882,"Threats to life, arrest or other",Email,0,1,1.12
45 - 54,Queensland,1901,Phishing,Phone call,0,7,12.65
55 - 64,Queensland,1901,Health and medical products,Internet,0,1,0.75
55 - 64,Victoria,1882,"Travel, prizes and lottery",Email,0,2,3.37
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,600,2,2.37
45 - 54,Tasmania,1710.8,Other,Email,795,2,3
35 - 44,Victoria,1882,Identity theft,Email,71303.77,3,5.12
25 - 34,Northern Territory,1845.8,Other,In person,0,1,0
Under 18,Queensland,1901,Other,Phone call,0,1,3.2
45 - 54,New South Wales,1935.7,Fake charity,Internet,0,1,1.07
55 - 64,Queensland,1901,Other,Email,0,8,7.82
35 - 44,South Australia,1776.9,Other,In person,0,1,0.15
45 - 54,South Australia,1776.9,Online shopping,Text message,0,1,4.1
18 - 24,Western Australia,2094.3,Online shopping,Text message,0,1,2.84
35 - 44,Queensland,1901,Phishing,Text message,0,46,24.22
65 and over,Tasmania,1710.8,Rebate,Email,0,4,2.13
55 - 64,South Australia,1776.9,Rebate,Text message,0,2,1.27
45 - 54,South Australia,1776.9,"Travel, prizes and lottery",Text message,0,1,0.55
25 - 34,New South Wales,1935.7,Phishing,Text message,16441,28,45.87
18 - 24,South Australia,1776.9,Jobs and employment,Social media/Online forums,7440,2,0.89
45 - 54,Victoria,1882,Online shopping,Phone call,0,1,4.14
55 - 64,South Australia,1776.9,Other,Phone call,0,2,3.08
25 - 34,Victoria,1882,Identity theft,Social media/Online forums,500,2,2.74
45 - 54,Victoria,1882,Classified,Text message,0,1,3.49
35 - 44,Victoria,1882,Online shopping,Internet,304,6,2.21
45 - 54,Queensland,1901,Remote access,Phone call,0,2,1.89
25 - 34,Western Australia,2094.3,Phishing,Text message,0,6,8.48
65 and over,Victoria,1882,Other,Social media/Online forums,500,1,5.97
35 - 44,Northern Territory,1845.8,Investment,Internet,6000,1,1.45
65 and over,Queensland,1901,Dating and romance,Social media/Online forums,55116.97,5,2.32
25 - 34,New South Wales,1935.7,Overpayment,Social media/Online forums,350,2,1.07
55 - 64,Queensland,1901,inheritance and unexpected money,Phone call,0,1,1.89
65 and over,Northern Territory,1845.8,Other,Email,0,1,5.69
35 - 44,South Australia,1776.9,Phishing,Internet,0,1,0
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Email,0,1,3.51
55 - 64,Tasmania,1710.8,Overpayment,Email,0,1,0
25 - 34,Queensland,1901,Classified,Mobile apps,2500,1,1.93
25 - 34,Western Australia,2094.3,Online shopping,Text message,0,2,3.72
Under 18,New South Wales,1935.7,Classified,Social media/Online forums,0,1,0.63
35 - 44,Victoria,1882,Online shopping,Phone call,10000,3,5.06
18 - 24,New South Wales,1935.7,Online shopping,Mail,0,1,1.33
45 - 54,New South Wales,1935.7,Dating and romance,Mobile apps,0,1,1.04
35 - 44,Queensland,1901,"Threats to life, arrest or other",Text message,0,3,1.93
25 - 34,South Australia,1776.9,Classified,Internet,0,1,0.32
55 - 64,Western Australia,2094.3,False billing,Email,0,12,6.49
45 - 54,Queensland,1901,Investment,Text message,0,1,2.51
35 - 44,Queensland,1901,False billing,Text message,0,13,6.5
35 - 44,South Australia,1776.9,Identity theft,Phone call,0,1,2.02
55 - 64,Western Australia,2094.3,Phishing,Social media/Online forums,0,1,1.2
55 - 64,New South Wales,1935.7,Overpayment,Mail,0,1,1
25 - 34,New South Wales,1935.7,Health and medical products,Internet,0,1,0.56
